drug_cd,제품명,성분 1,성분 2,내용
A11A0500A0131,all,Acebutolol,Ibuprofen,"Beta-Blockers/NSAIDs 임상효과 : 두 약물의 병용투여시 베타-차단제의 항고혈압 효과가 저해될 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)가 신장의 프로스타글란딘 합성을 저해하여, 고혈압을 유발하도록 할 수 있다. 처치 : 가능하다면 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용할 때에는 주기적으로 환자의 혈압을 모니터링하고, 필요하다면 베타-차단제의 용량을 조절해야 한다. 술린닥(Sulindac)과 같은 NSAIDs는 이러한 상호작용을 가지지 않으므로 대체 제제로 고려해볼 수 있다."
A11A0500A0131,all,Acebutolol Hydrochloride,Ibuprofen,"Beta-Blockers/NSAIDs 임상효과 : 두 약물의 병용투여시 베타-차단제의 항고혈압 효과가 저해될 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)가 신장의 프로스타글란딘 합성을 저해하여, 고혈압을 유발하도록 할 수 있다. 처치 : 가능하다면 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용할 때에는 주기적으로 환자의 혈압을 모니터링하고, 필요하다면 베타-차단제의 용량을 조절해야 한다. 술린닥(Sulindac)과 같은 NSAIDs는 이러한 상호작용을 가지지 않으므로 대체 제제로 고려해볼 수 있다."
A11A0500A0131,all,Aceclofenac,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Acemetacin,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Alminoprofen,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Aluminum Flufenamate,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Amfenac Sodium,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Amikacin,Ibuprofen,"Aminoglycosides/NSAIDs 임상효과 : 두 약물의 병용투여시 아미노글리코시드계 약물의 혈중농도가 증가할 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)는 사구체 여과속도를 감소시켜 아미노글리코시드계 약물의 축적을 유발할 수 있다. 처치 : 가능하면 이 두 약물의 병용은 피해야 한다. 부득이하게 두 약물의 병용을 피할 수 없다면, NSAIDs의 투약을 시작하기 전에 아미노글리코시드계 약물의 용량을 감소시켜야 한다. 신기능과 아미노글리코시드계 약물의 혈청 농도를 모니터링 해야 하며, 이에 따라 아미노글리코시드계 약물의 용량을 조절한다."
A11A0500A0131,all,Amikacin Sulfate,Ibuprofen,"Aminoglycosides/NSAIDs 임상효과 : 두 약물의 병용투여시 아미노글리코시드계 약물의 혈중농도가 증가할 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)는 사구체 여과속도를 감소시켜 아미노글리코시드계 약물의 축적을 유발할 수 있다. 처치 : 가능하면 이 두 약물의 병용은 피해야 한다. 부득이하게 두 약물의 병용을 피할 수 없다면, NSAIDs의 투약을 시작하기 전에 아미노글리코시드계 약물의 용량을 감소시켜야 한다. 신기능과 아미노글리코시드계 약물의 혈청 농도를 모니터링 해야 하며, 이에 따라 아미노글리코시드계 약물의 용량을 조절한다."
A11A0500A0131,all,Atenolol,Ibuprofen,"Beta-Blockers/NSAIDs 임상효과 : 두 약물의 병용투여시 베타-차단제의 항고혈압 효과가 저해될 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)가 신장의 프로스타글란딘 합성을 저해하여, 고혈압을 유발하도록 할 수 있다. 처치 : 가능하다면 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용할 때에는 주기적으로 환자의 혈압을 모니터링하고, 필요하다면 베타-차단제의 용량을 조절해야 한다. 술린닥(Sulindac)과 같은 NSAIDs는 이러한 상호작용을 가지지 않으므로 대체 제제로 고려해볼 수 있다."
A11A0500A0131,all,Bendroflumethiazide,Ibuprofen,Thiazide-Type Diuretics/NSAIDs 임상효과 : 두 약물의 병용투여시 치아짓계 이뇨제의 항고혈압 효과 및 이뇨 효과가 감소될 수 있다. 기전 : 인도메타신(Indomethacin)에 의한 신장의 프로스타글란딘 합성 억제와 소듐/워터(sodium/water) 정체 유도가 치아짓계 이뇨제의 작용을 길항할 수 있다. 처치 : 두 약물의 병용투여시에는 환자의 혈압을 규칙적으로 모니터링 해야 한다. 그에 따라 이뇨제의 용량을 조절한다.
A11A0500A0131,all,Betaxolol Hydrochloride,Ibuprofen,"Beta-Blockers/NSAIDs 임상효과 : 두 약물의 병용투여시 베타-차단제의 항고혈압 효과가 저해될 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)가 신장의 프로스타글란딘 합성을 저해하여, 고혈압을 유발하도록 할 수 있다. 처치 : 가능하다면 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용할 때에는 주기적으로 환자의 혈압을 모니터링하고, 필요하다면 베타-차단제의 용량을 조절해야 한다. 술린닥(Sulindac)과 같은 NSAIDs는 이러한 상호작용을 가지지 않으므로 대체 제제로 고려해볼 수 있다."
A11A0500A0131,all,Bisoprolol Fumarate,Ibuprofen,"Beta-Blockers/NSAIDs 임상효과 : 두 약물의 병용투여시 베타-차단제의 항고혈압 효과가 저해될 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)가 신장의 프로스타글란딘 합성을 저해하여, 고혈압을 유발하도록 할 수 있다. 처치 : 가능하다면 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용할 때에는 주기적으로 환자의 혈압을 모니터링하고, 필요하다면 베타-차단제의 용량을 조절해야 한다. 술린닥(Sulindac)과 같은 NSAIDs는 이러한 상호작용을 가지지 않으므로 대체 제제로 고려해볼 수 있다."
A11A0500A0131,all,Bumetanide,Ibuprofen,"Loop Diuretics/NSAIDs 임상효과 : 두 약물의 병용투여시 루프계 이뇨제의 효과가 감소할 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)는 신장의 혈역학을 유지하는데 관여하는 프로스타글란딘을 억제할 수 있다. 처치 : 두 약물의 병용투여시에는 루프계 이뇨제가 고용량 필요할 수 있다. 만약 이뇨작용이 부적절하다면, 다른 항염증 제제의 사용을 고려해 보아야 한다."
A11A0500A0131,all,Butylflufenamate,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Carteolol Hydrochloride,Ibuprofen,"Beta-Blockers/NSAIDs 임상효과 : 두 약물의 병용투여시 베타-차단제의 항고혈압 효과가 저해될 수 있다. 기전 : NSAIDs(비스테로이드성 항염증제)가 신장의 프로스타글란딘 합성을 저해하여, 고혈압을 유발하도록 할 수 있다. 처치 : 가능하다면 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용할 때에는 주기적으로 환자의 혈압을 모니터링하고, 필요하다면 베타-차단제의 용량을 조절해야 한다. 술린닥(Sulindac)과 같은 NSAIDs는 이러한 상호작용을 가지지 않으므로 대체 제제로 고려해볼 수 있다."
A11A0500A0131,all,Celecoxib,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Chlorothiazide,Ibuprofen,Thiazide-Type Diuretics/NSAIDs 임상효과 : 두 약물의 병용투여시 치아짓계 이뇨제의 항고혈압 효과 및 이뇨 효과가 감소될 수 있다. 기전 : 인도메타신(Indomethacin)에 의한 신장의 프로스타글란딘 합성 억제와 소듐/워터(sodium/water) 정체 유도가 치아짓계 이뇨제의 작용을 길항할 수 있다. 처치 : 두 약물의 병용투여시에는 환자의 혈압을 규칙적으로 모니터링 해야 한다. 그에 따라 이뇨제의 용량을 조절한다.
A11A0500A0131,all,Chlorothiazide Sodium,Ibuprofen,Thiazide-Type Diuretics/NSAIDs 임상효과 : 두 약물의 병용투여시 치아짓계 이뇨제의 항고혈압 효과 및 이뇨 효과가 감소될 수 있다. 기전 : 인도메타신(Indomethacin)에 의한 신장의 프로스타글란딘 합성 억제와 소듐/워터(sodium/water) 정체 유도가 치아짓계 이뇨제의 작용을 길항할 수 있다. 처치 : 두 약물의 병용투여시에는 환자의 혈압을 규칙적으로 모니터링 해야 한다. 그에 따라 이뇨제의 용량을 조절한다.
A11A0500A0131,all,Chlorthalidone,Ibuprofen,Thiazide-Type Diuretics/NSAIDs 임상효과 : 두 약물의 병용투여시 치아짓계 이뇨제의 항고혈압 효과 및 이뇨 효과가 감소될 수 있다. 기전 : 인도메타신(Indomethacin)에 의한 신장의 프로스타글란딘 합성 억제와 소듐/워터(sodium/water) 정체 유도가 치아짓계 이뇨제의 작용을 길항할 수 있다. 처치 : 두 약물의 병용투여시에는 환자의 혈압을 규칙적으로 모니터링 해야 한다. 그에 따라 이뇨제의 용량을 조절한다.
A11A0500A0131,all,Cinnoxicam,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Clonixin,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Clonixin Lysinate,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Cyclosporine,Ibuprofen,"Immunosuppressants(Cyclosporine)/NSAIDs 임상효과 : 두 약물의 병용투여시 약물의 신장독성이 증가할 수 있다. 기전 : 정확한 상호작용 기전은 밝혀지지 않았다. 처치 : 두 약물은 병용투여하지 않는다. 부득이하게 두 약물을 병용투여할 경우에는, 환자의 신장 기능을 자주 모니터링하는 것이 필요하다."
A11A0500A0131,all,Dalteparin Sodium,Ibuprofen,"Anticoagulants(Heparin)/NSAIDs 임상효과 : 두 약물의 병용투여시 출혈의 위험이 증가할 수 있으며, 헤파린과 인도메타신(Indomethacin)의 병용으로 동맥관 개존증의 치료 실패가 보고되었다. 기전 : 두 약물의 병용에 의해 응고반응과 혈소판 지혈이 저해될 수 있다. 처치 : 두 약물의 병용이 필요하다면, 임상적 모니터링과 실험실적 모니터링이 모두 주의깊게 행해져야 한다."
A11A0500A0131,all,Desipramine Hydrochloride,Ibuprofen,Tricyclic Antidepressants(Desipramine)/NSAIDs(Ibuprofen) 임상효과 : 두 약물의 병용투여시 데시프라민의 혈청 농도가 상승하여 부작용의 위험이 증가할 수 있다. 기전 : 정확한 상호작용 기전은 밝혀지지 않았다. 처치 : 데시프라민을 투여 중인 환자에게 이부프로펜의 투여를 시작 혹은 중단하거나 용량을 변경할 때에는 환자의 임상적 반응을 주의깊게 관찰해야 한다. 데시프라민의 혈청 농도는 환자를 관리하는데 있어 유용할 수 있다. 필요시 데시프라민의 용량을 조절해야 한다.
A11A0500A0131,all,Dexibuprofen,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Dexketoprofen Trometamol,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Dichloralphenazone,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diclofenac,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diclofenac Diethylammonium,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diclofenac Epolamine,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diclofenac Potassium,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diclofenac Sodium,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diclofenac β-dimethylaminoethanol,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Diflunisal,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Digoxin,Ibuprofen,"Digitalis Glycosides(Digoxin)/NSAIDs(Ibuprofen) 임상효과 : 두 약물의 병용투여시 비록 일시적이긴 하지만, 디곡신의 혈청 농도가 상승할 수 있다. 기전 : 정확한 상호작용 기전은 밝혀지지 않았으나, 두 약물의 병용으로 인해 디곡신의 신장 배설이 감소되는 것이 한 요인일 수 있다. 처치 : 두 약물의 병용투여시에는 디곡신의 혈청농도를 주기적으로 모니터링해야 한다. 디곡신의 용량 감소가 필요할 수도 있다."
A11A0500A0131,all,Emorfazone,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Enfenamic Acid,Ibuprofen,"NSAIDs/NSAIDs 임상효과 : 두 약물의 병용투여시 위장관 궤양과 출혈 등 중증의 위장관계 이상반응의 발생 위험이 증가될 수 있으며, 신기능이 감소될 수도 있다. 기전 : 두 약물의 병용투여시 NSAIDs 부작용에 대한 상가 또는 상승 작용이 나타날 수 있다. 처치 : 두 약물은 병용투여하지 않는다. 다만, 국내 병용금기 약물이 아닌 경우 부득이하게 병용투여를 피할 수 없다면, 환자의 임상상태를 주의깊게 모니터링 하여야 하며, 약물의 독성이 나타나면 투여를 중지하는 등 적절한 조치를 취한다."
A11A0500A0131,all,Enoxaparin Sodium,Ibuprofen,"Anticoagulants(Heparin)/NSAIDs 임상효과 : 두 약물의 병용투여시 출혈의 위험이 증가할 수 있으며, 헤파린과 인도메타신(Indomethacin)의 병용으로 동맥관 개존증의 치료 실패가 보고되었다. 기전 : 두 약물의 병용에 의해 응고반응과 혈소판 지혈이 저해될 수 있다. 처치 : 두 약물의 병용이 필요하다면, 임상적 모니터링과 실험실적 모니터링이 모두 주의깊게 행해져야 한다."
